hotel_name,rating_description,reviews,room_type,room_price,rating
"Club Quarters Hotel St Paul's, London",Good,"3,395 reviews",Small Queen Room,£215,
Sea Containers London,Fabulous,"4,910 reviews",Standard,£426,
Exhibition Court Hotel 4,Review score,"1,521 reviews",Standard Double Room,£87,
"Club Quarters Hotel St Paul's, London",Good,"3,395 reviews",Small Queen Room,£215,
Sea Containers London,Fabulous,"4,910 reviews",Standard,£426,
Sea Containers London,Fabulous,"4,910 reviews",Standard,£426,
"Club Quarters Hotel St Paul's, London",Good,"3,395 reviews",Small Queen Room,£215,
"Club Quarters Hotel St Paul's, London",Good,"3,395 reviews",Small Queen Room,£215,
"Club Quarters Hotel St Paul's, London",Good,"3,395 reviews",Small Queen Room,£215,
Sea Containers London,Fabulous,"4,910 reviews",Standard,£426,
Sea Containers London,Fabulous,"4,910 reviews",Standard,£426,
Exhibition Court Hotel 4,Review score,"1,521 reviews",Standard Double Room,£87,
"Club Quarters Hotel St Paul's, London",Good,"3,395 reviews",Small Queen Room,£215,
Sea Containers London,Fabulous,"4,910 reviews",Standard,£426,
Sea Containers London,Fabulous,"4,910 reviews",Standard,£426,
"Club Quarters Hotel St Paul's, London",Good,"3,395 reviews",Small Queen Room,£215,
Sea Containers London,Fabulous,"4,910 reviews",Standard,£426,
Sea Containers London,Fabulous,"4,910 reviews",Standard,£426,
Sea Containers London,Fabulous,"4,910 reviews",Standard,£426,
Sea Containers London,Fabulous,"4,910 reviews",Standard,£426,
Sea Containers London,Fabulous,"4,910 reviews",Standard,£426,
"Club Quarters Hotel St Paul's, London",Good,"3,395 reviews",Small Queen Room,£215,
Sea Containers London,Fabulous,"4,910 reviews",Standard,£426,
"Club Quarters Hotel St Paul's, London",Good,"3,395 reviews",Small Queen Room,£215,
